
###################################################################
###################################################################
###################################################################

Current time: 2023-10-10 02:30:04.344665

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'dropout': 0, 'previous_steps': 5}

learning: {'nBatch': 14, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: correction_LSTMs


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 201480

Epoch [115/2000], First Loss: 376.4801, Second Loss: 424.3211, Val Loss: 360.5381 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [116/2000], First Loss: 377.3616, Second Loss: 424.3210, Val Loss: 360.5425 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [117/2000], First Loss: 377.5315, Second Loss: 424.3207, Val Loss: 360.5458 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [118/2000], First Loss: 377.4181, Second Loss: 424.3204, Val Loss: 360.5486 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [119/2000], First Loss: 377.1299, Second Loss: 424.3198, Val Loss: 360.5505 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [120/2000], First Loss: 375.7017, Second Loss: 424.3186, Val Loss: 360.5520 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [121/2000], First Loss: 373.9717, Second Loss: 424.3175, Val Loss: 360.5529 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [122/2000], First Loss: 372.3304, Second Loss: 424.3162, Val Loss: 360.5533 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [123/2000], First Loss: 370.8215, Second Loss: 424.3150, Val Loss: 360.5532 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [124/2000], First Loss: 367.6590, Second Loss: 424.3132, Val Loss: 360.5509 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [125/2000], First Loss: 365.1831, Second Loss: 424.3111, Val Loss: 360.5495 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [126/2000], First Loss: 364.6080, Second Loss: 424.3099, Val Loss: 360.5445 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [127/2000], First Loss: 364.2520, Second Loss: 424.3092, Val Loss: 360.5414 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [128/2000], First Loss: 364.2966, Second Loss: 424.3081, Val Loss: 360.5388 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [129/2000], First Loss: 364.6304, Second Loss: 424.3076, Val Loss: 360.5369 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [130/2000], First Loss: 364.9618, Second Loss: 424.3074, Val Loss: 360.5308 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [131/2000], First Loss: 365.7205, Second Loss: 424.3069, Val Loss: 360.5272 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [132/2000], First Loss: 365.7585, Second Loss: 424.3060, Val Loss: 360.5248 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [133/2000], First Loss: 366.0567, Second Loss: 424.3055, Val Loss: 360.5222 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [134/2000], First Loss: 365.0995, Second Loss: 424.3046, Val Loss: 360.5181 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [135/2000], First Loss: 364.3479, Second Loss: 424.3042, Val Loss: 360.5123 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [136/2000], First Loss: 362.9383, Second Loss: 424.3036, Val Loss: 360.5099 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [137/2000], First Loss: 361.1700, Second Loss: 424.3030, Val Loss: 360.5078 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [138/2000], First Loss: 358.9509, Second Loss: 424.3028, Val Loss: 360.5061 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [139/2000], First Loss: 356.5529, Second Loss: 424.3028, Val Loss: 360.5052 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [140/2000], First Loss: 354.9911, Second Loss: 424.3033, Val Loss: 360.5045 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [141/2000], First Loss: 354.8978, Second Loss: 424.3042, Val Loss: 360.5036 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [142/2000], First Loss: 355.4872, Second Loss: 424.3046, Val Loss: 360.5027 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [143/2000], First Loss: 355.8801, Second Loss: 424.3048, Val Loss: 360.5009 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [144/2000], First Loss: 355.6535, Second Loss: 424.3044, Val Loss: 360.4985 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [145/2000], First Loss: 355.0308, Second Loss: 424.3033, Val Loss: 360.4955 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [146/2000], First Loss: 354.0680, Second Loss: 424.3019, Val Loss: 360.4935 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [147/2000], First Loss: 352.8962, Second Loss: 424.2996, Val Loss: 360.4893 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [148/2000], First Loss: 351.8255, Second Loss: 424.2979, Val Loss: 360.4838 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [149/2000], First Loss: 351.0700, Second Loss: 424.2958, Val Loss: 360.4799 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [150/2000], First Loss: 350.8490, Second Loss: 424.2940, Val Loss: 360.4759 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [151/2000], First Loss: 350.4656, Second Loss: 424.2924, Val Loss: 360.4726 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [152/2000], First Loss: 350.1813, Second Loss: 424.2912, Val Loss: 360.4692 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [153/2000], First Loss: 350.9367, Second Loss: 424.2898, Val Loss: 360.4665 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [154/2000], First Loss: 351.5300, Second Loss: 424.2886, Val Loss: 360.4648 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [155/2000], First Loss: 351.8641, Second Loss: 424.2874, Val Loss: 360.4629 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [156/2000], First Loss: 352.3844, Second Loss: 424.2868, Val Loss: 360.4619 [(kW/hour)^2], MinVal : 359.1307678222656
